Reward Start Date,Reward End Date,Eligible Builders,Builders with Activity (Score > 0),Builders Receiving Rewards,Builders with GitHub Activity,GitHub Activity %,Builders with Celo Contract Activity,Celo Contract Activity %
2025-05-01 10:00:00 UTC,2025-05-22 10:00:00 UTC,13437,684,97,683,5.08,3,0.02
2025-05-01 10:00:00 UTC,2025-06-01 10:00:00 UTC,10453,713,98,706,6.75,17,0.16
2025-06-01 10:00:00 UTC,2025-06-02 10:00:00 UTC,10453,197,99,196,1.88,2,0.02
2025-06-01 10:00:00 UTC,2025-06-03 10:00:00 UTC,10453,207,99,206,1.97,1,0.01
2025-06-01 10:00:00 UTC,2025-06-04 10:00:00 UTC,10453,238,100,238,2.28,1,0.01
2025-06-01 10:00:00 UTC,2025-06-05 10:00:00 UTC,10450,254,100,253,2.42,1,0.01
2025-06-01 10:00:00 UTC,2025-06-06 10:00:00 UTC,9705,249,100,248,2.56,1,0.01
2025-06-01 10:00:00 UTC,2025-06-07 10:00:00 UTC,9705,261,100,260,2.68,1,0.01
2025-06-01 10:00:00 UTC,2025-06-08 10:00:00 UTC,9705,269,99,269,2.77,0,0.0
2025-06-01 10:00:00 UTC,2025-06-09 10:00:00 UTC,9705,278,99,277,2.85,1,0.01
2025-06-01 10:00:00 UTC,2025-06-10 10:00:00 UTC,9699,284,99,283,2.92,1,0.01
2025-06-01 10:00:00 UTC,2025-06-11 10:00:00 UTC,9700,294,99,294,3.03,0,0.0
2025-06-01 10:00:00 UTC,2025-06-12 10:00:00 UTC,9701,302,99,302,3.11,0,0.0
2025-06-01 10:00:00 UTC,2025-06-13 10:00:00 UTC,9701,311,99,311,3.21,0,0.0
2025-06-01 10:00:00 UTC,2025-06-14 10:00:00 UTC,9701,324,99,324,3.34,0,0.0
2025-06-01 10:00:00 UTC,2025-06-15 10:00:00 UTC,9701,335,99,335,3.45,0,0.0
2025-06-01 10:00:00 UTC,2025-06-16 10:00:00 UTC,9701,347,99,347,3.58,0,0.0
2025-06-01 10:00:00 UTC,2025-06-17 10:00:00 UTC,11036,412,98,412,3.73,2,0.02
2025-06-01 10:00:00 UTC,2025-06-18 10:00:00 UTC,11067,421,98,421,3.8,5,0.05
2025-06-01 10:00:00 UTC,2025-06-19 10:00:00 UTC,11081,435,98,435,3.93,6,0.05
2025-06-01 10:00:00 UTC,2025-06-20 10:00:00 UTC,11121,449,98,449,4.04,6,0.05
2025-06-01 10:00:00 UTC,2025-06-21 10:00:00 UTC,11146,459,99,459,4.12,6,0.05
2025-06-01 10:00:00 UTC,2025-06-22 10:00:00 UTC,11168,470,99,470,4.21,6,0.05
2025-06-01 10:00:00 UTC,2025-06-23 10:00:00 UTC,11184,484,98,484,4.33,6,0.05
2025-06-01 10:00:00 UTC,2025-06-24 10:00:00 UTC,11196,493,98,493,4.4,0,0.0
2025-06-01 10:00:00 UTC,2025-06-25 10:00:00 UTC,11873,526,99,526,4.43,7,0.06
2025-06-01 10:00:00 UTC,2025-06-26 10:00:00 UTC,12818,553,98,553,4.31,6,0.05
2025-06-01 10:00:00 UTC,2025-06-27 10:00:00 UTC,13069,567,98,567,4.34,5,0.04
2025-06-01 10:00:00 UTC,2025-06-28 10:00:00 UTC,13532,592,98,592,4.37,7,0.05
2025-06-01 10:00:00 UTC,2025-06-29 10:00:00 UTC,13552,601,98,601,4.43,7,0.05
2025-06-01 10:00:00 UTC,2025-06-30 10:00:00 UTC,13574,618,98,617,4.55,8,0.06
2025-06-01 10:00:00 UTC,2025-07-01 10:00:00 UTC,13607,623,99,622,4.57,7,0.05
2025-07-01 10:00:00 UTC,2025-07-10 10:00:00 UTC,16833,776,100,775,4.6,5,0.03
2025-07-01 10:00:00 UTC,2025-07-11 10:00:00 UTC,16842,854,100,853,5.06,5,0.03
2025-07-01 10:00:00 UTC,2025-07-12 10:00:00 UTC,16853,893,100,892,5.29,7,0.04
2025-07-01 10:00:00 UTC,2025-07-13 10:00:00 UTC,16887,951,100,950,5.63,7,0.04
2025-07-01 10:00:00 UTC,2025-07-14 10:00:00 UTC,16883,971,100,971,5.75,6,0.04
2025-07-01 10:00:00 UTC,2025-07-15 10:00:00 UTC,17779,1049,100,1047,5.89,7,0.04
2025-07-01 10:00:00 UTC,2025-07-16 10:00:00 UTC,21942,1250,100,1248,5.69,7,0.03
2025-07-01 10:00:00 UTC,2025-07-17 10:00:00 UTC,25754,1414,100,1411,5.48,10,0.04
2025-07-01 10:00:00 UTC,2025-07-18 10:00:00 UTC,34247,1653,100,1650,4.82,9,0.03
2025-07-01 10:00:00 UTC,2025-07-19 10:00:00 UTC,37631,1764,100,1761,4.68,11,0.03
2025-07-01 10:00:00 UTC,2025-07-20 10:00:00 UTC,38061,1804,100,1802,4.73,8,0.02
2025-07-01 10:00:00 UTC,2025-07-21 10:00:00 UTC,38095,1845,100,1841,4.83,9,0.02
2025-07-01 10:00:00 UTC,2025-07-22 10:00:00 UTC,38106,1883,100,1880,4.93,10,0.03
2025-07-01 10:00:00 UTC,2025-07-23 10:00:00 UTC,38967,1901,100,1898,4.87,12,0.03
2025-07-01 10:00:00 UTC,2025-07-24 10:00:00 UTC,39933,2004,100,2001,5.01,13,0.03
2025-07-01 10:00:00 UTC,2025-07-25 10:00:00 UTC,39962,2035,100,2032,5.08,17,0.04
2025-07-01 10:00:00 UTC,2025-07-26 10:00:00 UTC,39972,2076,100,2073,5.19,17,0.04
2025-07-01 10:00:00 UTC,2025-07-27 10:00:00 UTC,39981,2108,100,2104,5.26,19,0.05
2025-07-01 10:00:00 UTC,2025-07-28 10:00:00 UTC,39994,2148,100,2145,5.36,19,0.05
2025-07-01 10:00:00 UTC,2025-07-29 10:00:00 UTC,40000,2182,100,2178,5.45,19,0.05
2025-07-01 10:00:00 UTC,2025-07-30 10:00:00 UTC,40017,2206,99,2203,5.51,23,0.06
2025-07-01 10:00:00 UTC,2025-07-31 10:00:00 UTC,40027,40027,100,2232,5.58,28,0.07
2025-07-01 10:00:00 UTC,2025-08-01 10:00:00 UTC,40061,40061,100,2276,5.68,29,0.07
2025-07-01 10:00:00 UTC,2025-08-02 10:00:00 UTC,40071,40071,100,2294,5.72,32,0.08
2025-07-01 10:00:00 UTC,2025-08-03 10:00:00 UTC,40081,40081,100,2320,5.79,32,0.08
2025-07-01 10:00:00 UTC,2025-08-04 10:00:00 UTC,40086,40086,100,2347,5.85,31,0.08
